,Origen,Destino,Numero de Vuelo,Salida,Llegada
112,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3711,1:25,
113,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3775,1:30,
114,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1465,2:15,06:10
115,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AD 4104,2:25,
116,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1911,2:25,
117,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7513,2:25,
118,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2107,2:40,
119,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7615,2:40,
120,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3747,3:00,06:55
121,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4547,3:00,06:45
122,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2143,3:45,07:35
123,Sinop [OPS],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3817,4:25,07:00
124,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3851,4:30,06:40
125,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3705,4:30,07:00
126,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3501,4:40,06:35
127,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1745,4:45,
128,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4155,4:45,
129,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7733,4:45,
130,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4507,4:55,
131,Cuiaba [CGB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1713,5:15,07:55
132,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1717,5:15,07:30
133,Campo Grande [CGR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3717,5:15,07:45
134,Florianopolis [FLN],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4549,5:15,07:25
135,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3433,5:20,
136,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),LA 3811,5:25,07:25
137,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1669,5:30,08:00
138,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),TP 5861,5:35,
139,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),CM 3670,5:35,
140,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1923,5:35,
141,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1673,5:35,07:30
142,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4097,5:35,
143,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1707,5:35,
144,Fortaleza [FOR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3739,5:40,
145,Curitiba [CWB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4515,5:45,
146,Sao Jose Do Rio Preto [SJP],Brasilia Distrito Federal Brasilia Airport (BSB),2Z 2327,6:00,07:45
147,Sao Paulo [CGH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1442,6:00,07:50
148,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AD 4104,2:25,
149,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3711,1:25,
150,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1465,2:15,06:10
151,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3501,4:40,06:35
152,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),LA 2402,0:05,
153,Lima [LIM],Brasilia Distrito Federal Brasilia Airport (BSB),DL 6326,0:05,
154,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3775,1:30,
155,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3851,4:30,06:40
156,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 7749,22:00,06:38
157,Miami [MIA],Brasilia Distrito Federal Brasilia Airport (BSB),AA 7770,22:00,06:35
158,Porto Velho [PVH],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4547,3:00,06:45
159,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3747,3:00,06:55
160,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1911,2:25,
161,Boa Vista [BVB],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7513,2:25,
162,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3705,4:30,07:00
163,Sinop [OPS],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3817,4:25,07:00
164,Palmas [PMW],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1793,6:00,07:25
165,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),LA 3811,5:25,07:25
166,Florianopolis [FLN],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4549,5:15,07:25
167,Maraba [MAB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1673,5:35,07:30
168,Teresina [THE],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1717,5:15,07:30
169,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4507,4:55,
170,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1745,4:45,
171,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),TP 4155,4:45,
172,Recife [REC],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7733,4:45,
173,"Belo Horizonte, Minas Gerais [CNF]",Brasilia Distrito Federal Brasilia Airport (BSB),AD 2603,6:10,
174,"Belo Horizonte, Minas Gerais [CNF]",Brasilia Distrito Federal Brasilia Airport (BSB),CM 7039,6:10,
175,Manaus [MAO],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2143,3:45,07:35
176,"Campinas, Sao Paulo [VCP]",Brasilia Distrito Federal Brasilia Airport (BSB),AD 2706,6:05,07:40
177,Palmas [PMW],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3763,6:20,07:40
178,Curitiba [CWB],Brasilia Distrito Federal Brasilia Airport (BSB),LA 4515,5:45,
179,Sao Jose Do Rio Preto [SJP],Brasilia Distrito Federal Brasilia Airport (BSB),2Z 2327,6:00,07:45
180,Campo Grande [CGR],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3717,5:15,07:45
181,Goiania [GYN],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3755,7:05,07:45
182,Sao Paulo [GRU],Brasilia Distrito Federal Brasilia Airport (BSB),LA 3261,6:10,08:11
183,21 Min,Brasilia Distrito Federal Brasilia Airport (BSB),Delay,5518,08:12
184,22 Min,Brasilia Distrito Federal Brasilia Airport (BSB),Delay,LA3261,
185,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),G3 2107,2:40,
186,Rio Branco [RBR],Brasilia Distrito Federal Brasilia Airport (BSB),AR 7615,2:40,
187,Sao Paulo [CGH],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1442,6:00,07:50
188,Cuiaba [CGB],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1713,5:15,07:55
189,Campinas [CPQ],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1773,6:53,07:55
190,"Salvador, Bahia [SSA]",Brasilia Distrito Federal Brasilia Airport (BSB),G3 1971,6:00,07:55
191,"Belo Horizonte, Minas Gerais [CNF]",Brasilia Distrito Federal Brasilia Airport (BSB),G3 1701,6:40,
192,"Belo Horizonte, Minas Gerais [CNF]",Brasilia Distrito Federal Brasilia Airport (BSB),CM 3617,6:40,
193,"Belo Horizonte, Minas Gerais [CNF]",Brasilia Distrito Federal Brasilia Airport (BSB),AR 7528,6:40,
194,Belem [BEL],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1669,5:30,08:00
195,Porto Alegre [POA],Brasilia Distrito Federal Brasilia Airport (BSB),G3 1923,5:35,
